frequency, word
128,claudio
128,brought
127,soldiers
127,return
127,petruchio
127,further
126,voice
126,side
126,northumberland
126,fal
125,sorrow
125,marcius
125,hell
125,heavy
125,foot
123,years
123,trust
123,pleasure
123,doubt
123,dog
123,celia
123,achilles
122,warrant
122,'twas
122,sad
122,pandarus
122,mrs
122,methinks
122,is't
122,ha
122,enemy
122,deep
122,call'd
121,viola
121,valiant
121,sicinius
121,remember
121,merry
120,twenty
120,sister
120,silvia
120,run
120,revenge
119,late
119,common
119,base
118,took
118,ten
118,sebastian
117,unless
117,ground
117,goes
117,either
117,cut
117,coming
117,camillo
116,worse
116,truly
116,thanks
116,needs
116,friar
116,content
116,behold
115,jul
115,air
114,stands
114,patience
114,next
114,maid
114,king's
113,tender
113,salisbury
113,past
113,open
113,mercy
113,door
113,course
113,brave
113,almost
112,romeo
112,oft
112,having
112,hang
112,certain
111,sin
111,report
111,man's
111,fit
111,fie
111,english
111,change
110,sick
110,note
110,haste
110,command
109,suit
109,serve
109,seem
109,grave
109,above
108,wherefore
108,weep
108,strike
108,ii
108,hours
108,hastings
108,already
107,yield
107,withal
107,wise
107,themselves
107,macbeth
106,rich
106,palace
106,ajax
105,thersites
105,lead
105,heavens
105,ears
105,deed
105,cymbeline
104,straight
104,soon
104,pay
104,norfolk
104,london
104,fault
104,duty
104,country
104,charles
103,wherein
103,slain
103,presently
103,liege
103,highness
103,four
103,duchess
103,deny
102,lest
102,knew
101,ulysses
101,sovereign
101,question
101,point
101,lips
101,iii
101,emilia
101,ask
101,angelo
100,witness
100,roman
100,pale
99,posthumus
99,pisanio
99,grow
99,five
98,you'll
98,woe
98,saint
98,married
98,ladies
98,hark
98,flesh
98,fast
98,become
97,wolsey
97,spoke
97,person
97,pass
97,bassanio
96,she's
96,oath
96,knave
96,just
96,glad
96,drink
96,attendants
95,sworn
95,moon
95,hair
95,earl
95,cade
95,arm
94,speaks
94,shylock
94,pedro
94,god's
94,gives
94,counsel
94,captain
94,bold
94,bad
93,watch
93,ready
93,letters
93,elizabeth
93,eat
93,bottom
92,women
92,slave
92,paris
92,marcus
92,lov'd
92,heir
92,got
92,fell
92,cominius
92,city
92,bosom
91,write
91,wouldst
91,white
91,water
91,strength
91,sirrah
91,sing
91,shepherd
91,met
91,kate
91,chamber
91,adriana
90,loving
90,flourish
90,conscience
90,anon
89,sport
89,soft
89,simple
89,seems
89,often
89,murderer
89,mouth
89,living
89,fare
89,curse
88,want
88,tamora
88,sense
88,bene
87,walk
87,pride
87,march
87,besides
86,speech
86,signior
86,roderigo
86,parts
86,marriage
86,behind
86,bardolph
86,appear
86,action
86,aaron
85,whilst
85,traitor
85,enemies
85,doctor
84,wonder
84,wars
84,spirits
84,princess
84,plain
84,kent
84,dream
84,children
84,battle
83,'twere
83,souls
83,malvolio
83,lucio
83,loss
83,longer
83,force
83,favour
83,deeds
83,attend
82,win
82,takes
82,office
82,form
82,fetch
82,entreat
82,confess
82,berowne
82,belarius
81,widow
81,town
81,teach
81,senator
81,rage
81,morning
81,maria
81,launce
81,issue
81,hundred
81,agamemnon
80,vile
80,shows
80,prospero
80,kill'd
80,cap
79,pistol
79,hermia
79,he'll
79,buy
79,book
79,anything
79,aeneas
78,officer
78,lysander
78,going
78,count
78,baptista
78,along
77,troy
77,tale
77,ta'en
77,somerset
77,promise
77,ourselves
77,moor
77,mighty
77,lion
77,hide
77,fearful
77,castle
77,caius
76,subject
76,paper
76,isabella
76,guiderius
76,feel
76,drum
76,countess
76,awhile
76,'a
75,whole
75,touch
75,respect
75,purse
75,noise
75,lordship
75,hor
75,guard
75,green
75,case
74,westmoreland
74,toward
74,polixenes
74,paulina
74,mortal
74,least
74,judgment
74,herself
74,ghost
74,dull
74,bless
74,autolycus
73,provost
73,move
73,learn
73,katherina
73,jest
73,gratiano
73,fresh
73,diomedes
73,danger
73,close
73,bears
72,tower
72,silence
72,pucelle
72,presence
72,pluck
72,lewis
72,knight
72,heads
72,grant
72,emperor
72,dangerous
72,breast
72,bianca
71,whether
71,where's
71,to't
71,stood
71,short
71,quarrel
71,plague
71,passion
71,lend
71,iv
71,catesby
70,william
70,valour
70,thurio
70,tent
70,pretty
70,leon
70,kept
70,iachimo
70,honourable
70,hadst
70,consent
70,choose
70,calls
70,angry
69,writ
69,virtuous
69,thither
69,princes
69,masters
69,hearing
69,forget
69,died
69,deliver
69,cast
69,beard
69,alarum
68,weak
68,sorry
68,quick
68,prisoner
68,love's
68,judge
68,jaques
68,jack
68,health
68,glory
68,fortunes
68,feast
68,excellent
68,dies
68,chance
68,brain
68,army
67,wounds
67,won
67,understand
67,stephano
67,shake
67,on't
67,kings
67,hurt
67,hamlet
67,glou
67,fools
67,evans
67,begin
67,beg
67,apemantus
66,thence
66,scorn
66,proof
66,patient
66,low
66,look'd
66,lear
66,lack
66,hero
66,forward
66,foolish
66,coward
66,commend
66,claud
66,birth
65,witch
65,whither
65,v
65,throw
65,small
65,receive
65,pains
65,match
65,lucentio
65,holds
65,gates
65,exeter
65,de
65,cloten
65,citizens
65,chamberlain
65,ben
64,went
64,venice
64,turn'd
64,try
64,thrice
64,slender
64,saturninus
64,prison
64,golden
64,dinner
64,cleopatra
64,bond
63,year
63,worst
63,theseus
63,tear
63,poins
63,nestor
63,measure
63,lucetta
63,humour
63,honesty
63,'gainst
63,forgot
63,folly
63,feed
63,faults
63,arviragus
62,treason
62,taken
62,stop
62,shape
62,pompey
62,ours
62,mer
62,grey
62,fled
62,fashion
62,e'er
62,drawn
62,cheek
62,casca
62,blow
62,blind
62,although
61,walls
61,view
61,stir
61,prayers
61,piece
61,perceive
61,harm
61,foes
61,among
60,whence
60,wall
60,vow
60,richmond
60,princely
60,offer
60,men's
60,held
60,fine
60,due
60,broke
60,brief
60,boys
60,banish'd
60,aumerle
60,alive
60,adieu
59,woman's
59,vows
59,troth
59,touchstone
59,talbot
59,sudden
59,steal
59,rude
